Datetime,PJME_MW,log_electric_consumption,day_ofyr,roll_mean
2003-08-13,991426.0,13.806899589764368,225,13.700755493825085
2003-08-14,1002128.0,13.81763629697929,226,13.704333579680357
2003-08-15,998267.0,13.813776054582616,227,13.707089520799524
2003-08-16,874542.0,13.681455599731766,228,13.70914359210812
2003-08-17,804489.0,13.597962572232221,229,13.708854677734516
2003-08-18,865601.0,13.67117934234171,230,13.699995608926006
2003-08-19,888485.0,13.69727304404829,231,13.690161009105651
2003-08-20,940132.0,13.753775569919359,232,13.685199259415032
2003-08-21,1002926.0,13.818432285558286,233,13.680284409563301
2003-08-22,1041440.0,13.856114928806214,234,13.67821717748207
2003-08-23,832322.0,13.63197466416149,235,13.672820308155767
2003-08-24,679563.0,13.429205223507331,236,13.664734405235382
2003-08-25,844483.0,13.646479884772788,237,13.6563944987371
2003-08-26,910719.0,13.72198967641064,238,13.650278259311387
2003-08-27,924912.0,13.737453876833793,239,13.642246340786063
2003-08-28,907598.0,13.718556828271469,240,13.631606548212728
2003-08-29,919946.0,13.732070251650391,241,13.621381762778194
2003-08-30,861813.0,13.66679358875653,242,13.609857451630825
2003-08-31,676765.0,13.425079371988948,243,13.601617920116425
2003-09-01,718288.0,13.484625881811692,244,13.599112655111355
2003-09-02,801362.0,13.594068059039744,245,13.59799563620676
2003-09-03,785687.0,13.574313773271653,246,13.593646119653675
2003-09-04,830787.0,13.630128723293062,247,13.58556153013489
2003-09-05,779569.0,13.566496481843405,248,13.57325826821499
2003-09-06,666288.0,13.409477288483,249,13.558521349081193
2003-09-07,657932.0,13.396856861502105,250,13.551663734998327
2003-09-08,774301.0,13.559715965863068,251,13.549703708638484
2003-09-09,761546.0,13.543105856584186,252,13.54544682009679
2003-09-10,736000.0,13.508985397711013,253,13.539155431668123
2003-09-11,752640.0,13.53134230481229,254,13.529950710631024
2003-09-12,722950.0,13.491095342456273,255,13.522903591019132
2003-09-13,694362.0,13.450748717328588,256,13.515865132838899
2003-09-14,749990.0,13.52781515209027,257,13.509534724752864
2003-09-15,838947.0,13.639902813013006,258,13.50861926427759
2003-09-16,786609.0,13.575486580561988,259,13.506870555130918
2003-09-17,749684.0,13.527407063393332,260,13.500977866475377
2003-09-18,710654.0,13.473940951801145,261,13.496038600317563
2003-09-19,689334.0,13.443481193059867,262,13.489264377909745
2003-09-20,686912.0,13.439961469841196,263,13.484850763182454
2003-09-21,643273.0,13.374324485431696,264,13.482619610238066
2003-09-22,749594.0,13.527287005605372,265,13.479102463256464
2003-09-23,763624.0,13.545830800407915,266,13.474578584680327
2003-09-24,714774.0,13.47972168779501,267,13.47130345913423
2003-09-25,745073.0,13.521237479138506,268,13.46947651006164
2003-09-26,755393.0,13.534993422603844,269,13.467284560154965
2003-09-27,721828.0,13.489542162347554,270,13.46564601741822
2003-09-28,659638.0,13.399446478681286,271,13.461267403310982
2003-09-29,683965.0,13.435662025704836,272,13.453147134885764
2003-09-30,679473.0,13.429072776684539,273,13.445560468303361
2003-10-01,684206.0,13.436014320852873,274,13.44089372693534
2003-10-02,687248.0,13.440450495874112,275,13.437479314563229
2003-10-03,688944.0,13.442915269479272,276,13.436397061061422
2003-10-04,625937.0,13.347005006040158,277,13.435893563568595
2003-10-05,596227.0,13.298376746017196,278,13.431966662580246
2003-10-06,682179.0,13.43304736573123,279,13.429455658723066
2003-10-07,694816.0,13.451402341293498,280,13.42631925977381
2003-10-08,699297.0,13.457830823678465,281,13.422810444748574
2003-10-09,707836.0,13.469967707425456,282,13.421508524506208
2003-10-10,690531.0,13.445216145827354,283,13.42059575308299
2003-10-11,614244.0,13.328147522325951,284,13.419073137629026
2003-10-12,597463.0,13.300447636184197,285,13.415101340677321
2003-10-13,678389.0,13.42747614870573,286,13.410990615124517
2003-10-14,690256.0,13.444817822257338,287,13.41176161677804
2003-10-15,681331.0,13.431803516974224,288,13.413030764624926
2003-10-16,689442.0,13.44363785375054,289,13.414494526189227
2003-10-17,679684.0,13.429383263260695,290,13.415729641107804
2003-10-18,615388.0,13.330008242167448,291,13.41573793441216
2003-10-19,599599.0,13.30401637743067,292,13.415580910333675
2003-10-20,686573.0,13.439467835026278,293,13.41605101653717
2003-10-21,692168.0,13.447583979701305,294,13.417184707202761
2003-10-22,689187.0,13.443267921008797,295,13.417635312811786
2003-10-23,726272.0,13.495679879288414,296,13.418406035247212
2003-10-24,723865.0,13.492360189892866,297,13.418519279691967
2003-10-25,645856.0,13.378331847699846,298,13.418152936124828
2003-10-26,587920.0,13.284346163202752,299,13.4200846427495
2003-10-27,698891.0,13.457250072003568,300,13.424309460045034
2003-10-28,704053.0,13.464608916397383,301,13.42866791905827
2003-10-29,712831.0,13.476999644653212,302,13.431595328080894
2003-10-30,711431.0,13.475033713594314,303,13.433577873074695
2003-10-31,689104.0,13.443147482001214,304,13.435438631298029
2003-11-01,623191.0,13.34260833184261,305,13.439564250143679
2003-11-02,604127.0,13.311539719715048,306,13.442541684212342
2003-11-03,704181.0,13.46479070436778,307,13.445365224611967
2003-11-04,703638.0,13.46401929834623,308,13.446660225066998
2003-11-05,714552.0,13.479411051870407,309,13.448545718873524
2003-11-06,710084.0,13.473138551878593,310,13.450079724220844
2003-11-07,683484.0,13.434958525947495,311,13.449610079209299
2003-11-08,648382.0,13.382235307816744,312,13.44920673895837
2003-11-09,672490.0,13.418742520459098,313,13.448949510478839
2003-11-10,766441.0,13.549513001076358,314,13.451184416252747
2003-11-11,749218.0,13.526785274890795,315,13.451738581386508
2003-11-12,720222.0,13.487314776800618,316,13.454190419112736
2003-11-13,726315.0,13.49573908400388,317,13.456615921035489
2003-11-14,762914.0,13.54490059093891,318,13.452254071202061
2003-11-15,668891.0,13.413376396089983,319,13.449648899103991
2003-11-16,648927.0,13.383075508620195,320,13.452613233542717
2003-11-17,711925.0,13.475727847767121,321,13.456590403156682
2003-11-18,729692.0,13.500377806283993,322,13.458391835149738
2003-11-19,719434.0,13.486220070733761,323,13.463407612982138
2003-11-20,716784.0,13.48252981896516,324,13.469430729098653
2003-11-21,715736.0,13.481066662866864,325,13.47548738755904
2003-11-22,641221.0,13.371129450272933,326,13.482920902878345
2003-11-23,625886.0,13.346923524872249,327,13.49078172677367
2003-11-24,709820.0,13.472766695748824,328,13.496414626651758
2003-11-25,754085.0,13.5332603727318,329,13.500143721643306
2003-11-26,762924.0,13.544913698490303,330,13.504358340218024
2003-11-27,629639.0,13.352901918258361,331,13.508764093610145
2003-11-28,640627.0,13.370202663255256,332,13.511225249702102
2003-11-29,677124.0,13.425609696126914,333,13.513146636260247
2003-11-30,675292.0,13.42290046890606,334,13.518696618977241
2003-12-01,740611.0,13.515230800173384,335,13.525839510922097
2003-12-02,809734.0,13.604461077653427,336,13.531746212904869
2003-12-03,845817.0,13.648058303132796,337,13.536180191723597
2003-12-04,841318.0,13.642724988769434,338,13.540762237985295
2003-12-05,841631.0,13.643096954887966,339,13.547154697981457
2003-12-06,808017.0,13.602338376885864,340,13.553289832951553
2003-12-07,787378.0,13.576463717045563,341,13.560915334979905
2003-12-08,850796.0,13.653927660839715,342,13.568640763577104
2003-12-09,843061.0,13.644794594982933,343,13.572987124612224
2003-12-10,814782.0,13.61067587178002,344,13.572778458961059
2003-12-11,778132.0,13.564651454578682,345,13.569891403448676
2003-12-12,805082.0,13.598699414567019,346,13.57257008544505
2003-12-13,781348.0,13.56877591216581,347,13.578116530231346
2003-12-14,792602.0,13.58307648307619,348,13.579560151545952
2003-12-15,839965.0,13.64111550328475,349,13.58074371630473
2003-12-16,826148.0,13.624529213208325,350,13.581566065941482
2003-12-17,817918.0,13.61451736606129,351,13.578674472064966
2003-12-18,857279.0,13.661518698857671,352,13.573895991957757
2003-12-19,849880.0,13.652850442029575,353,13.565723920377598
2003-12-20,793845.0,13.584643507066726,354,13.560037877126721
2003-12-21,777031.0,13.563235525593816,355,13.552664928461214
2003-12-22,801680.0,13.59446480473221,356,13.545408841685411
2003-12-23,749692.0,13.527417734499178,357,13.541626725923022
2003-12-24,703678.0,13.464076144143494,358,13.540431117364491
2003-12-25,678680.0,13.427905014156876,359,13.54432640315727
2003-12-26,748258.0,13.525503117271557,360,13.549195052030086
2003-12-27,705055.0,13.466031092935854,361,13.552391493551008
2003-12-28,698046.0,13.456040282151827,362,13.558577670811074
2003-12-29,757862.0,13.538256590002437,363,13.562010751530346
2003-12-30,746758.0,13.523496449111029,364,13.562634633418753
2003-12-31,739893.0,13.514260860130952,365,13.562706797605502
2004-01-01,669246.0,13.413906984524992,1,13.566844500979341
2004-01-02,717758.0,13.483887743863376,2,13.570114155898176
2004-01-03,657300.0,13.395895814251668,3,13.575591010500428
2004-01-04,642610.0,13.37329328732308,4,13.57849227164065
2004-01-05,765304.0,13.548028419492834,5,13.579202183967928
2004-01-06,815305.0,13.611317555344081,6,13.582815734825996
2004-01-07,908676.0,13.71974387397777,7,13.590163748264667
2004-01-08,891779.0,13.700973623017568,8,13.599959273727277
2004-01-09,880460.0,13.688199777152807,9,13.60975130992428
2004-01-10,929116.0,13.741988875447651,10,13.618263353966316
2004-01-11,872574.0,13.679202743215818,11,13.626641741462393
2004-01-12,854767.0,13.658584196160158,12,13.635871201500212
2004-01-13,827819.0,13.626549810437329,13,13.644428858790672
2004-01-14,918386.0,13.73037306052881,14,13.65257416159738
2004-01-15,939468.0,13.75306903658501,15,13.659994341980587
2004-01-16,990735.0,13.806202370892649,16,13.671205821483406
2004-01-17,861025.0,13.665878818992978,17,13.680103435716328
2004-01-18,792631.0,13.583113070757628,18,13.691115742080582
2004-01-19,887039.0,13.695644228758054,19,13.700282976265722
2004-01-20,920951.0,13.733162110781938,20,13.705236568776842
2004-01-21,925742.0,13.738350857096608,21,13.707507509976155
2004-01-22,892768.0,13.702082027672926,22,13.704087441120496
2004-01-23,949642.0,13.76384035044863,23,13.702940538364087
2004-01-24,891469.0,13.700625942826003,24,13.702021246556749
2004-01-25,903892.0,13.714465163210772,25,13.694689820194991
2004-01-26,963060.0,13.777870994135318,26,13.69096437124438
2004-01-27,938056.0,13.751564927698835,27,13.690723015802487
2004-01-28,910752.0,13.722025910860713,28,13.689112764393093
2004-01-29,916052.0,13.727828410603946,29,13.684535367415663
2004-01-30,920821.0,13.733020942385181,30,13.680151347517171
2004-01-31,894697.0,13.70424039245082,31,13.672583767041957
2004-02-01,830660.0,13.629975844506982,32,13.667208832977705
2004-02-02,879166.0,13.686729009804223,33,13.665142264804773
2004-02-03,868831.0,13.674903908924874,34,13.66430179978615
2004-02-04,825696.0,13.623981946019315,35,13.662346877358113
2004-02-05,863596.0,13.668860345838093,36,13.658584567621103
2004-02-06,858086.0,13.662459606547332,37,13.654655904679714
2004-02-07,756690.0,13.53670893731843,38,13.647589396179304
2004-02-08,786140.0,13.574890172598732,39,13.639193680603782
2004-02-09,849010.0,13.651826243787132,40,13.630210386305734
2004-02-10,791324.0,13.581462770974321,41,13.622956119045087
2004-02-11,807910.0,13.602205945160723,42,13.617463660951781
2004-02-12,830943.0,13.63031647942728,43,13.613869668212788
2004-02-13,801556.0,13.594310117586653,44,13.60986617811342
2004-02-14,740722.0,13.515380665193886,45,13.604242992766453
2004-02-15,748068.0,13.525249161915543,46,13.59570906628448
2004-02-16,866408.0,13.67211120823663,47,13.587580432557498
2004-02-17,871895.0,13.678424282796872,48,13.580852717438342
2004-02-18,833181.0,13.633006184460363,49,13.573834774927713
2004-02-19,799770.0,13.592079465314017,50,13.56843609186564
2004-02-20,779165.0,13.565978112437149,51,13.561987462059689
2004-02-21,704713.0,13.4655459067113,52,13.555400447764715
2004-02-22,702874.0,13.46293292286541,53,13.549494301630224
2004-02-23,786031.0,13.574751510837162,54,13.541483523900508
2004-02-24,804339.0,13.597776101086227,55,13.537103142971544
2004-02-25,823562.0,13.62139411416896,56,13.536367913278129
2004-02-26,818911.0,13.615730687821621,57,13.535468454821213
2004-02-27,786676.0,13.575571752670081,58,13.532153305794482
2004-02-28,704533.0,13.465290450955557,59,13.529798527859793
2004-02-29,661572.0,13.402374100151535,60,13.528720274231478
2004-03-01,728216.0,13.498352986467808,61,13.526199839122949
2004-03-02,713831.0,13.478401518627244,62,13.519584938281056
2004-03-03,709857.0,13.472818820281388,63,13.51661185860822
2004-03-04,720931.0,13.48829871127142,64,13.51556278298203
2004-03-05,713561.0,13.478023206288068,65,13.515310032606065
2004-03-06,641354.0,13.371336845552705,66,13.515168668100566
2004-03-07,628184.0,13.350588396166657,67,13.5152205765317
2004-03-08,751011.0,13.529175577776154,68,13.51307460046433
2004-03-09,775200.0,13.560876339558693,69,13.513893088480062
2004-03-10,787817.0,13.577021108367102,70,13.513584362689127
2004-03-11,757283.0,13.537492306678816,71,13.510319650207368
2004-03-12,750411.0,13.528376335415325,72,13.505758301671175
2004-03-13,718693.0,13.485189563601114,73,13.501160520521669
2004-03-14,697095.0,13.454676978876682,74,13.49654038960674
2004-03-15,719919.0,13.486893984663638,75,13.492881025125616
2004-03-16,802252.0,13.595178051957467,76,13.491408004501038
2004-03-17,809063.0,13.60363206692703,77,13.492888694116605
2004-03-18,794130.0,13.585002454787011,78,13.494312972103545
2004-03-19,776087.0,13.56201990628318,79,13.49493756650941
2004-03-20,705738.0,13.466999342783081,80,13.496077843570927
2004-03-21,661884.0,13.402845592979071,81,13.497675820659849
2004-03-22,804253.0,13.597669175277716,82,13.498359713145003
2004-03-23,797416.0,13.589131778940027,83,13.499939730601762
2004-03-24,751617.0,13.529982164679705,84,13.499128206460142
2004-03-25,720725.0,13.488012928808194,85,13.495075115328532
2004-03-26,691649.0,13.446833880483945,86,13.492534729697681
2004-03-27,619041.0,13.335926785337533,87,13.48755459752708
2004-03-28,597143.0,13.299911894680047,88,13.48165551157295
2004-03-29,698792.0,13.457108408979598,89,13.476584824674072
2004-03-30,744048.0,13.519860827863186,90,13.476623498556501
2004-03-31,738738.0,13.512698603915693,91,13.473953128344766
2004-04-01,733650.0,13.505787354635613,92,13.470121289182918
2004-04-02,736711.0,13.509950964010498,93,13.46629079043581
2004-04-03,670702.0,13.41608020404253,94,13.462529944741883
2004-04-04,640329.0,13.369737385750993,95,13.457484153833173
2004-04-05,784982.0,13.573416066565345,96,13.45353321214703
2004-04-06,757784.0,13.538153663593409,97,13.449170639073401
2004-04-07,703297.0,13.463534556682006,98,13.445641217665573
2004-04-08,705288.0,13.46636150901495,99,13.442829192245659
2004-04-09,652739.0,13.388932634638456,100,13.442621157503657
2004-04-10,609269.0,13.320015156885468,101,13.44325770488103
2004-04-11,604827.0,13.31269774570814,102,13.442735476691096
2004-04-12,720699.0,13.487976853371679,103,13.44224916646276
2004-04-13,744455.0,13.52040768602893,104,13.441863521735161
2004-04-14,726752.0,13.49634057039532,105,13.438838454649723
2004-04-15,713365.0,13.47774848986797,106,13.436468530733672
2004-04-16,698518.0,13.45671622685321,107,13.434459427843091
2004-04-17,612753.0,13.325717197339205,108,13.432138573097168
2004-04-18,592567.0,13.29221922576712,109,13.430213114724637
2004-04-19,711775.0,13.475517129216085,110,13.429831817202196
2004-04-20,722381.0,13.490307979520868,111,13.425050032457131
2004-04-21,694707.0,13.451245452922132,112,13.421347139520833
2004-04-22,716539.0,13.48218795603212,113,13.420617578521554
2004-04-23,704087.0,13.464657207050312,114,13.419806485617459
2004-04-24,610055.0,13.321304396019396,115,13.422996349014683
2004-04-25,589067.0,13.286295208286683,116,13.422917655300322
2004-04-26,691287.0,13.44631035660682,117,13.42269285926404
2004-04-27,683621.0,13.435158949470866,118,13.424705855148554
2004-04-28,691308.0,13.446340734266222,119,13.428997156999925
2004-04-29,693518.0,13.449532473699398,120,13.435659377949301
